dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
--,3.7000E-02,9.7113E+00,3.7436E+02,3.4326E-01,9.1962E+01,-4.2683E-04,3.4974E+01,4.8465E+01,7.3909E-01,2.8390E+03,4.2327E+01,--
3.0900E-01,1.6070E+00,4.2178E+02,4.0761E+02,3.5828E-01,9.1687E+01,2.3277E+03,3.6504E+01,5.2204E+01,7.7953E-01,2.8060E+03,4.1533E+01,4.2888E+01
6.1300E-01,2.3920E+00,6.2782E+02,4.1845E+02,3.6960E-01,9.1598E+01,3.0917E+03,3.7658E+01,5.3891E+01,8.1527E-01,2.7933E+03,4.2612E+01,4.1357E+01
8.1300E-01,2.4490E+00,6.4278E+02,4.1811E+02,4.3520E-01,9.1600E+01,3.0674E+03,4.4342E+01,5.7175E+01,9.6627E-01,2.7694E+03,4.7568E+01,3.8648E+01
1.1130E+00,2.4740E+00,6.4934E+02,4.2056E+02,4.5577E-01,9.1580E+01,3.2403E+03,4.6437E+01,5.9952E+01,1.0168E+00,2.9756E+03,5.1571E+01,3.9601E+01
1.8800E+00,2.5820E+00,6.7769E+02,4.2524E+02,4.3628E-01,9.1542E+01,3.5709E+03,4.4452E+01,6.3247E+01,9.7795E-01,3.1124E+03,4.9451E+01,3.9265E+01
3.1130E+00,2.9260E+00,7.6798E+02,4.3155E+02,5.0915E-01,9.1489E+01,4.0174E+03,5.1876E+01,6.4795E+01,1.1535E+00,3.4552E+03,6.3958E+01,4.2548E+01
4.6130E+00,3.3460E+00,8.7822E+02,4.3560E+02,5.4709E-01,9.1456E+01,4.3049E+03,5.5742E+01,6.9978E+01,1.2644E+00,3.6443E+03,6.9891E+01,4.1552E+01
--,3.7000E-02,9.7113E+00,3.6800E+02,4.7220E-01,9.2014E+01,-4.4289E+02,4.8111E+01,6.5464E+01,1.0587E+00,3.8072E+03,6.3287E+01,4.6403E+01
